preference_key,movie_title,star_cast,rating,year,place,vote,link
1,Sueño de fuga,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.233881668535593,1994,1,,/title/tt0111161/
2,El padrino,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.155927590267183,1972,2,,/title/tt0068646/
3,Batman: El Caballero de la Noche,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",8.9855605140679,2008,3,,/title/tt0468569/
4,El padrino II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",8.984120203992164,1974,4,,/title/tt0071562/
1,12 hombres en pugna,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",8.947634491916693,1957,5,,/title/tt0050083/
2,La lista de Schindler,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.9352938554814,1993,6,,/title/tt0108052/
3,El señor de los anillos: El retorno del rey,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.921184033944009,2003,7,,/title/tt0167260/
4,Tiempos violentos,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.850703711703998,1994,8,,/title/tt0110912/
1,El señor de los anillos: La comunidad del anillo,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.803670758798933,2001,9,,/title/tt0120737/
2," El bueno, el malo y el feo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.793628710064466,1966,1,,/title/tt0060196/
3,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.767335743266202,1994,11,,/title/tt0109830/
4,El club de la pelea,"David Fincher (dir.), Brad Pitt, Edward Norton",8.750010928049964,1999,12,,/title/tt0137523/
1,El origen,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.732934033041213,2010,13,,/title/tt1375666/
2,El señor de los anillos: Las dos torres,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.727894164359824,2002,14,,/title/tt0167261/
3,El imperio contraataca,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.701800348769554,1980,15,,/title/tt0080684/
4,Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.671126341520479,1999,16,,/title/tt0133093/
1,Buenos muchachos,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.651583479201156,1990,17,,/title/tt0099685/
2,Atrapado sin salida,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.641186990722867,1975,18,,/title/tt0073486/
3,"Seven, los siete pecados capitales","David Fincher (dir.), Morgan Freeman, Brad Pitt",8.60404301139619,1995,19,,/title/tt0114369/
4,Los siete samurais,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.59899864904079,1954,20,,/title/tt0047478/
1,¡Qué bello es vivir!,"Frank Capra (dir.), James Stewart, Donna Reed",8.596993395523858,1946,21,,/title/tt0038650/
2,El silencio de los inocentes,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.588003296249926,1991,22,,/title/tt0102926/
3,Ciudad de Dios,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.578841902701308,2002,23,,/title/tt0317248/
4,Rescatando al soldado Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.57782142288763,1998,24,,/title/tt0120815/
1,La vida es bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.566050653952859,1997,25,,/title/tt0118799/
2,Milagros inesperados,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.55981370033516,1999,26,,/title/tt0120689/
3,Interestelar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.555521551006446,2014,27,,/title/tt0816692/
4,La guerra de las galaxias,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.554225452705333,1977,28,,/title/tt0076759/
1,Terminator 2: juicio final,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.535104293890116,1991,29,,/title/tt0103064/
2,Volver al futuro,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.518172880603295,1985,30,,/title/tt0088763/
3,El viaje de Chihiro,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.515374665121861,2001,31,,/title/tt0245429/
4,Psicosis,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.508802822281663,1960,32,,/title/tt0054215/
1,El pianista,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.504547764089564,2002,33,,/title/tt0253474/
2,El perfecto asesino,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.500670039677301,1994,34,,/title/tt0110413/
3,Parásitos,"Bong Joon Ho (dir.), Song Kang-ho, Sun-kyun Lee",8.495625241406655,2019,35,,/title/tt6751668/
4,El rey león,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.488462073489504,1994,36,,/title/tt0110357/
1,Gladiador,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.485390464004904,2000,37,,/title/tt0172495/
2,Historia americana X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.48450352355764,1998,38,,/title/tt0120586/
3,Sospechosos comunes,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.476337644301083,1995,39,,/title/tt0114814/
4,Los infiltrados,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.475075331135452,2006,40,,/title/tt0407887/
1,El gran truco,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.468067410661535,2006,41,,/title/tt0482571/
2,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.46560079863031,1942,42,,/title/tt0034583/
3,Top Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",8.463027018478758,2022,43,,/title/tt1745960/
4,Whiplash: Música y obsesión,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.460297242366817,2014,44,,/title/tt2582802/
1,Amigos intocables,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.453793443653536,2011,45,,/title/tt1675434/
2,Tiempos modernos,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.449693624663366,1936,46,,/title/tt0027977/
3,Harakiri,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.448401175003587,1962,47,,/title/tt0056058/
4,Erase una vez en el oeste,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.447813626036945,1968,48,,/title/tt0064116/
1,La tumba de las luciérnagas,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.447678866082201,1988,49,,/title/tt0095327/
2,La ventana indiscreta,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.437353831985845,1954,50,,/title/tt0047396/
3,"Alien, el 8° pasajero","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.435336608767427,1979,51,,/title/tt0078748/
4,Luces de la ciudad,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.43420886235519,1931,52,,/title/tt0021749/
1,Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.429224822338355,1988,53,,/title/tt0095765/
2,Amnesia,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.425980719485533,2000,54,,/title/tt0209144/
3,Apocalipsis,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.425151215621883,1979,55,,/title/tt0078788/
4,Los cazadores del arca perdida,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.411808141298463,1981,56,,/title/tt0082971/
1,Django sin cadenas,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.402688245041183,2012,57,,/title/tt1853728/
2,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.392626189061396,2008,58,,/title/tt0910970/
3,La vida de los otros,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.38627420288386,2006,59,,/title/tt0405094/
4,El ocaso de una vida,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.382433939110488,1950,60,,/title/tt0043014/
1,La patrulla infernal,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.370693469148875,1957,61,,/title/tt0050825/
2,El resplandor,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.367864581054212,1980,62,,/title/tt0081505/
3,El gran dictador,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.366269857613071,1940,63,,/title/tt0032553/
4,Testigo de cargo,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",8.356637079989047,1957,64,,/title/tt0051201/
1,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.355655419332257,2018,65,,/title/tt4154756/
2,"Alien 2, el regreso","James Cameron (dir.), Sigourney Weaver, Michael Biehn",8.344749574584696,1986,66,,/title/tt0090605/
3,Belleza americana,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",8.337966267853286,1999,67,,/title/tt0169547/
4,Dr Insólito o Cómo aprendí a no preocuparme y amar la bomba,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.333732615378201,1964,68,,/title/tt0057012/
1,Batman: El caballero de la noche asciende,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",8.328686457571033,2012,69,,/title/tt1345836/
2,Spider-Man: Un nuevo universo,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",8.328535466311314,2018,70,,/title/tt4633694/
3,Guasón,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",8.319849942471828,2019,71,,/title/tt7286456/
4,Oldboy: Cinco días para vengarse,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-Tae",8.319818304050104,2003,72,,/title/tt0364569/
1,Corazón valiente,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",8.315499327667686,1995,73,,/title/tt0112573/
2,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",8.315383854929877,1984,74,,/title/tt0086879/
3,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",8.31460181404904,1995,75,,/title/tt0114709/
4,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",8.312312606870988,2017,76,,/title/tt2380307/
1,El submarino,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",8.311783245560207,1981,77,,/title/tt0082096/
2,Bastardos sin gloria,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",8.310878477556251,2009,78,,/title/tt0361748/
3,La princesa Mononoke,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.30373920713744,1997,79,,/title/tt0119698/
4,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",8.301033901094131,2019,80,,/title/tt4154796/
1,Érase una vez en América,"Sergio Leone (dir.), Robert De Niro, James Woods",8.300689383790093,1984,81,,/title/tt0087843/
2,Mente indomable,"Gus Van Sant (dir.), Robin Williams, Matt Damon",8.286573300616142,1997,82,,/title/tt0119217/
3,Réquiem por un sueño,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",8.276908785013065,2000,83,,/title/tt0180093/
4,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",8.276587967255036,2010,84,,/title/tt0435761/
1,Your Name,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",8.274414765877673,2016,85,,/title/tt5311514/
2,Cantando bajo la lluvia,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",8.273777429356226,1952,86,,/title/tt0045152/
3,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",8.26879071729381,2009,87,,/title/tt1187043/
4,El regreso del Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",8.268118812508897,1983,88,,/title/tt0086190/
1,2001: odisea del espacio,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",8.265433106398993,1968,89,,/title/tt0062622/
2,Eterno resplandor de una mente sin recuerdos,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",8.264658021838375,2004,90,,/title/tt0338013/
3,Perros de reserva,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",8.26457634244968,1992,91,,/title/tt0105236/
4,Cielo e infierno,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",8.263230099587137,1963,92,,/title/tt0057565/
1,Cafarnaúm: la ciudad olvidada,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",8.25877415901163,2018,93,,/title/tt8267604/
2,El ciudadano Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",8.257952134434479,1941,94,,/title/tt0033467/
3,Lawrence de Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",8.256470425397952,1962,95,,/title/tt0056172/
4,Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",8.255000336978256,2012,96,,/title/tt2106476/
1,Intriga internacional,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",8.253871754943649,1959,97,,/title/tt0053125/
2,M el maldito,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",8.253765819467695,1931,98,,/title/tt0022100/
3,De entre los muertos,"Alfred Hitchcock (dir.), James Stewart, Kim Novak",8.24802082109927,1958,99,,/title/tt0052357/
4, Amelie,"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",8.246265172691881,2001,10,,/title/tt0211915/
1,Naranja mecánica,"Stanley Kubrick (dir.), Malcolm McDowell, Patrick Magee",8.244740223213869,1971,101,,/title/tt0066921/
2,Ven y mira,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",8.243570207862733,1985,102,,/title/tt0091251/
3,Cara de guerra,"Stanley Kubrick (dir.), Matthew Modine, R. Lee Ermey",8.240197209701396,1987,103,,/title/tt0093058/
4,Pacto de sangre,"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",8.23812883878768,1944,104,,/title/tt0036775/
1,Piso de soltero,"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",8.237137586685867,1960,105,,/title/tt0053604/
2,Caracortada,"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",8.235149907845916,1983,106,,/title/tt0086250/
3,Ikiru - Vivir,"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",8.230485866786918,1952,107,,/title/tt0044741/
4,El golpe,"George Roy Hill (dir.), Paul Newman, Robert Redford",8.229108666631866,1973,108,,/title/tt0070735/
1,Matar a un ruiseñor,"Robert Mulligan (dir.), Gregory Peck, John Megna",8.228929971055964,1962,109,,/title/tt0056592/
2,Taxi Driver,"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",8.22808595636628,1976,110,,/title/tt0075314/
3,Los Ángeles al desnudo,"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",8.224927124501361,1997,111,,/title/tt0119488/
4,"Up, una aventura de altura","Pete Docter (dir.), Edward Asner, Jordan Nagai",8.2243471431537,2009,112,,/title/tt1049413/
1,Fuego contra fuego,"Michael Mann (dir.), Al Pacino, Robert De Niro",8.22324834689689,1995,113,,/title/tt0113277/
2,Hamilton,"Thomas Kail (dir.), Lin-Manuel Miranda, Phillipa Soo",8.221775983829732,2020,114,,/title/tt8503618/
3,Metrópolis,"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",8.220945540429463,1927,115,,/title/tt0017136/
4,Una separación,"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",8.2205474404676,2011,116,,/title/tt1832382/
1,Snatch: Cerdos y diamantes,"Guy Ritchie (dir.), Jason Statham, Brad Pitt",8.220519424273933,2000,117,,/title/tt0208092/
2,Duro de matar,"John McTiernan (dir.), Bruce Willis, Alan Rickman",8.220303501126107,1988,118,,/title/tt0095016/
3,La mujer que cantaba,"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",8.21953214583862,2010,119,,/title/tt1255953/
4,Indiana Jones y la última cruzada,"Steven Spielberg (dir.), Harrison Ford, Sean Connery",8.218417934071857,1989,120,,/title/tt0097576/
1,Ladrones de bicicletas,"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",8.21765623274762,1948,121,,/title/tt0040522/
2,Spider-Man: sin camino a casa,"Jon Watts (dir.), Tom Holland, Zendaya",8.214359813586228,2021,122,,/title/tt10872600/
3,1917,"Sam Mendes (dir.), Dean-Charles Chapman, George MacKay",8.212231823608,2019,123,,/title/tt8579674/
